t = 5.1e-12, u =     996.556 1.11853e+08 1.33289e+22     288.454 1.33289e+22     8146.81, Te = 1044.98, T = 300
t = 5.2e-12, u =     996.556 1.11853e+08 1.35928e+22     295.812 1.35928e+22     8308.13, Te = 1050.83, T = 300
t = 5.3e-12, u =     996.556 1.11853e+08 1.38568e+22     303.249 1.38568e+22     8469.45, Te = 1056.73, T = 300
t = 5.4e-12, u =     996.556 1.11853e+08 1.41207e+22     310.762 1.41207e+22     8630.78, Te = 1062.67, T = 300
t = 5.5e-12, u =     996.556 1.11853e+08 1.43846e+22     318.354 1.43846e+22      8792.1, Te = 1068.65, T = 300
t = 5.6e-12, u =     996.556 1.11853e+08 1.46486e+22     326.023 1.46486e+22     8953.42, Te = 1074.68, T = 300
t = 5.7e-12, u =     996.556 1.11853e+08 1.49125e+22      333.77 1.49125e+22     9114.74, Te = 1080.74, T = 300
t = 5.8e-12, u =     996.556 1.11853e+08 1.51765e+22     341.594 1.51765e+22     9276.06, Te = 1086.84, T = 300
t = 5.9e-12, u =     996.556 1.11853e+08 1.54404e+22     349.496 1.54404e+22     9437.39, Te = 1092.97, T = 300
t = 6e-12, u =     996.556 1.11853e+08 1.57043e+22     357.475 1.57043e+22     9598.71, Te = 1099.14, T = 300
t = 6.1e-12, u =     996.556 1.11853e+08 1.59683e+22     365.531 1.59683e+22     9760.03, Te = 1105.33, T = 300
t = 6.2e-12, u =     996.556 1.11853e+08 1.62322e+22     373.664 1.62322e+22     9921.35, Te = 1111.55, T = 300
t = 6.3e-12, u =     996.556 1.11853e+08 1.64961e+22     381.874 1.64961e+22     10082.7, Te = 1117.8, T = 300
t = 6.4e-12, u =     996.556 1.11853e+08 1.67601e+22     390.161 1.67601e+22       10244, Te = 1124.07, T = 300
t = 6.5e-12, u =     996.556 1.11853e+08  1.7024e+22     398.524  1.7024e+22     10405.3, Te = 1130.36, T = 300
t = 6.6e-12, u =     996.556 1.11853e+08  1.7288e+22     406.963  1.7288e+22     10566.6, Te = 1136.68, T = 300
t = 6.7e-12, u =     996.556 1.11853e+08 1.75519e+22     415.478 1.75519e+22       10728, Te = 1143.01, T = 300
