t = 5.1e-12, u =     996.556 1.11853e+08 1.34609e+22     292.104 1.34609e+22     8227.47, Te = 1047.83, T = 300
t = 5.2e-12, u =     996.556 1.11853e+08 1.37248e+22     299.501 1.37248e+22     8388.79, Te = 1053.7, T = 300
t = 5.3e-12, u =     996.556 1.11853e+08 1.39887e+22     306.976 1.39887e+22     8550.12, Te = 1059.62, T = 300
t = 5.4e-12, u =     996.556 1.11853e+08 1.42527e+22     314.529 1.42527e+22     8711.44, Te = 1065.59, T = 300
t = 5.5e-12, u =     996.556 1.11853e+08 1.45166e+22     322.159 1.45166e+22     8872.76, Te = 1071.6, T = 300
t = 5.6e-12, u =     996.556 1.11853e+08 1.47806e+22     329.867 1.47806e+22     9034.08, Te = 1077.64, T = 300
t = 5.7e-12, u =     996.556 1.11853e+08 1.50445e+22     337.653 1.50445e+22      9195.4, Te = 1083.72, T = 300
t = 5.8e-12, u =     996.556 1.11853e+08 1.53084e+22     345.516 1.53084e+22     9356.73, Te = 1089.84, T = 300
t = 5.9e-12, u =     996.556 1.11853e+08 1.55724e+22     353.456 1.55724e+22     9518.05, Te = 1095.99, T = 300
t = 6e-12, u =     996.556 1.11853e+08 1.58363e+22     361.474 1.58363e+22     9679.37, Te = 1102.17, T = 300
t = 6.1e-12, u =     996.556 1.11853e+08 1.61002e+22     369.569 1.61002e+22     9840.69, Te = 1108.38, T = 300
t = 6.2e-12, u =     996.556 1.11853e+08 1.63642e+22     377.741 1.63642e+22       10002, Te = 1114.62, T = 300
t = 6.3e-12, u =     996.556 1.11853e+08 1.66281e+22     385.989 1.66281e+22     10163.3, Te = 1120.88, T = 300
t = 6.4e-12, u =     996.556 1.11853e+08  1.6892e+22     394.314  1.6892e+22     10324.7, Te = 1127.16, T = 300
t = 6.5e-12, u =     996.556 1.11853e+08  1.7156e+22     402.715  1.7156e+22       10486, Te = 1133.46, T = 300
t = 6.6e-12, u =     996.556 1.11853e+08 1.74199e+22     411.192 1.74199e+22     10647.3, Te = 1139.79, T = 300
t = 6.7e-12, u =     996.556 1.11853e+08 1.76839e+22     419.745 1.76839e+22     10808.6, Te = 1146.13, T = 300
t = 6.8e-12, u =     996.556 1.11853e+08 1.79478e+22     428.374 1.79478e+22     10969.9, Te = 1152.49, T = 300
t = 6.9e-12, u =     996.556 1.11853e+08 1.82117e+22     437.078 1.82117e+22     11131.3, Te = 1158.87, T = 300
t = 7e-12, u =     996.556 1.11854e+08 1.84757e+22     445.856 1.84757e+22     11292.6, Te = 1165.25, T = 300
t = 7.1e-12, u =     996.556 1.11854e+08 1.87396e+22      454.71 1.87396e+22     11453.9, Te = 1171.65, T = 300
t = 7.2e-12, u =     996.556 1.11854e+08 1.90035e+22     463.637 1.90035e+22     11615.2, Te = 1178.07, T = 300
t = 7.3e-12, u =     996.556 1.11854e+08 1.92675e+22     472.639 1.92675e+22     11776.6, Te = 1184.49, T = 300
t = 7.4e-12, u =     996.556 1.11854e+08 1.95314e+22     481.715 1.95314e+22     11937.9, Te = 1190.92, T = 300
t = 7.5e-12, u =     996.556 1.11854e+08 1.97953e+22     490.864 1.97953e+22     12099.2, Te = 1197.36, T = 300
t = 7.6e-12, u =     996.556 1.11854e+08 2.00593e+22     500.085 2.00593e+22     12260.5, Te = 1203.8, T = 300
t = 7.7e-12, u =     996.556 1.11854e+08 2.03232e+22      509.38 2.03232e+22     12421.8, Te = 1210.25, T = 300
t = 7.8e-12, u =     996.556 1.11854e+08 2.05872e+22     518.747 2.05872e+22     12583.2, Te = 1216.7, T = 300
t = 7.9e-12, u =     996.556 1.11854e+08 2.08511e+22     528.186 2.08511e+22     12744.5, Te = 1223.16, T = 300
t = 8e-12, u =     996.556 1.11854e+08  2.1115e+22     537.697  2.1115e+22     12905.8, Te = 1229.62, T = 300
t = 8.1e-12, u =     996.556 1.11854e+08  2.1379e+22     547.278  2.1379e+22     13067.1, Te = 1236.08, T = 300
t = 8.2e-12, u =     996.556 1.11854e+08 2.16429e+22     556.931 2.16429e+22     13228.4, Te = 1242.54, T = 300
t = 8.3e-12, u =     996.556 1.11854e+08 2.19068e+22     566.655 2.19068e+22     13389.8, Te = 1249.01, T = 300
t = 8.4e-12, u =     996.556 1.11854e+08 2.21708e+22     576.448 2.21708e+22     13551.1, Te = 1255.47, T = 300
t = 8.5e-12, u =     996.556 1.11854e+08 2.24347e+22     586.312 2.24347e+22     13712.4, Te = 1261.93, T = 300
t = 8.6e-12, u =     996.556 1.11854e+08 2.26986e+22     596.245 2.26986e+22     13873.7, Te = 1268.38, T = 300
t = 8.7e-12, u =     996.556 1.11854e+08 2.29626e+22     606.247 2.29626e+22       14035, Te = 1274.84, T = 300
